"faction"#"name"#"x coordinate"#"y coordinate"#"Resource Value"
"Comstar"#"Terra"#0#0#10
"Federated Suns"#"Abbeville"#611,32#-40,16#0,5
"Federated Suns"#"Abruzzi"#150,74#-306,96#0,5
"Federated Suns"#"Acala"#135,36#-125,44#0,5
"Federated Suns"#"Addicks"#72,24#-0,26#0,5
"Federated Suns"#"Adelson"#477#-247,5#0,5
"Federated Suns"#"Adrian"#453,27#28,43#0,5
"Federated Suns"#"Agliana"#393,29#-292,1#0,5
"Federated Suns"#"Alcyone"#130,92#-199,25#0,5
"Federated Suns"#"Algot"#86,59#-83,46#0,5
"Federated Suns"#"Allerton"#265,76#7,3#0,5
"Federated Suns"#"Almach"#101,71#-62,07#0,5
"Federated Suns"#"Alsek"#318,44#-240,2#0,5
"Federated Suns"#"Alta Vista"#511,17#13,04#0,5
"Federated Suns"#"Altoona"#555,5#-4,17#0,5
"Federated Suns"#"Amiga"#166,65#-85,28#0,5
"Federated Suns"#"Anaheim"#302,01#-314,52#0,5
"Federated Suns"#"Andalusia"#394,85#-110,06#0,5
"Federated Suns"#"Andro"#146,05#-174,48#0,5
"Federated Suns"#"Angol"#88,67#-39,12#0,5
"Federated Suns"#"Anguilla"#415,72#80,33#0,5
"Federated Suns"#"Anjin Muerto"#591,76#-78,76#0,5
"Federated Suns"#"Ankaa"#75,37#-9,39#0,5
"Federated Suns"#"Antietam"#333,82#-138,22#0,5
"Federated Suns"#"Argyle"#257,67#-110,06#0,5
"Federated Suns"#"Armington"#424,58#-306,44#0,5
"Federated Suns"#"Arnaudville"#588,89#37,03#0,5
"Federated Suns"#"As Samik"#349,99#-289,23#0,5
"Federated Suns"#"Ashkum"#112,93#-101,97#0,5
"Federated Suns"#"Ashley"#165,87#-311,13#0,5
"Federated Suns"#"Atlas"#158,83#-246,2#0,5
"Federated Suns"#"Aucara"#178,13#-298,88#0,5
"Federated Suns"#"Augusta"#284,79#-99,89#0,5
"Federated Suns"#"Avawatz"#166,39#-29,73#0,5
"Federated Suns"#"Avigait"#154,39#-277,49#0,5
"Federated Suns"#"Axton"#128,31#-114,23#0,5
"Federated Suns"#"Bacum"#158,57#-291,84#0,5
"Federated Suns"#"Baranda"#453,27#-261,32#0,5
"Federated Suns"#"Barlow's End"#307,22#63,64#0,5
"Federated Suns"#"Barstow"#172,13#-41,21#0,5
"Federated Suns"#"Basalt"#66,76#-29,21#0,5
"Federated Suns"#"Basantapur"#367,73#-286,88#0,5
"Federated Suns"#"Bassfield"#594,1#4,96#0,5
"Federated Suns"#"Bastian"#299,92#-161,44#0,5
"Federated Suns"#"Bastrop"#568,28#61,03#0,5
"Federated Suns"#"Batavia"#202,9#-55,81#0,5
"Federated Suns"#"Baxley"#436,06#-151,26#0,5
"Federated Suns"#"Beaumont"#589,15#40,16#0,5
"Federated Suns"#"Beecher"#185,43#-50,6#0,5
"Federated Suns"#"Beenleigh"#185,43#-271,23#0,5
"Federated Suns"#"Beid"#125,71#-245,93#0,5
"Federated Suns"#"Belaire"#337,48#-276,71#0,5
"Federated Suns"#"Bell"#105,1#-110,84#0,5
"Federated Suns"#"Belladonna"#265,23#-125,71#0,5
"Federated Suns"#"Bellevue"#330,96#-58,15#0,5
"Federated Suns"#"Benedict"#477,52#-11,48#0,5
"Federated Suns"#"Benet III"#265,23#58,68#0,5
"Federated Suns"#"Bergman's Planet"#268,36#75,63#0,5
"Federated Suns"#"Beten Kaitos"#167,17#-114,23#0,5
"Federated Suns"#"Bethel"#141,88#-185,69#0,5
"Federated Suns"#"Bettendorf"#267,32#26,08#0,5
"Federated Suns"#"Birmensdorf"#386,51#-273,32#0,5
"Federated Suns"#"Birqash"#278,27#-268,62#0,5
"Federated Suns"#"Blandinsville"#230,03#-33,12#0,5
"Federated Suns"#"Bluford"#451,44#-80,85#0,5
"Federated Suns"#"Bogard"#271,75#-32,6#0,5
"Federated Suns"#"Bonneau"#399,81#-167,43#0,5
"Federated Suns"#"Boondock"#596,19#21,65#0,5
"Federated Suns"#"Breed"#197,16#40,16#0,5
